id,jp,model,alts
1,ミカはイヌを2匹飼っています．,Mika has two dogs.,
2,リョウタはたいてい自転車で学校に行きます．,Ryota usually goes to school by bike.,
3,地球は太陽の周りを回っている．,The earth moves around the sun.,The earth goes around the sun.
4,ピーターは若いころはとても内気だった．,Peter was very shy when he was young.,
5,メグに会いましたか．― ええ，図書館で会いました．,"Did you see Meg? Yes, I saw her in the library.",meetは初対面・約束して会う
6,私はたいてい夏休みをおじの家で過ごしました．,I usually spent my summer vacations at my uncle’s house.,
7,2，3週間たてば，木の葉は紅葉するでしょう．,The leaves will turn red in two or three weeks.,
8,来年は何歳になりますか．― 16歳になります．,How old will you be next year? I’ll be sixteen.,
9,よし，ぼくがやろう．,"All right, I’ll do it.","All right, I will do it."
10,明日歯医者さんに診てもらおうと思っています．,I’m going to see the dentist tomorrow.,I am going to see the dentist tomorrow.
11,黒い雲が出てきた．雨になりそうだ．,Black clouds are gathering.  It’s going to rain.,
12,試験は今度の月曜に［月曜から］始まります．,The exams begin next Monday.,
13,もし明日雨が降れば，私たちはタクシーで行きます．,"If it rains tomorrow, we’ll go by taxi.",will rainは不可！
14,何をしているの．― 旅行の計画を立てているんだ．,What are you doing? I’m making travel plans.,
15,君はいつもスマホばかり見ているね．〔他に何かしてはどうか〕,You’re always looking at your smartphone.,You are always looking at your smartphone.
16,今度の日曜日にジムの送別会を開きます．,We’re giving a farewell party for Jim next Sunday.,We’re having a farewell party for Jim next Sunday.|We are giving a farewell party for Jim next Sunday.|We are having a farewell party for Jim next Sunday.
17,昨夜あなたが電話をしてきたとき，私はテレビドラマを見ていました．,"When you called me last night, I was watching a TV drama.",
18,子供のころ，彼らはいつもお互いに口げんかをしていた．,In their childhood they were always quarreling with each other.,"When they were children, they were always quarreling with each other.|When they were children, they were always arguing with each other.|In their childhood they were always arguing with each other."
19,大統領はその日の晩にテレビのインタビューに答えることになっていた．,The President was giving an interview on TV that evening.,The President was to give an interview on TV that evening.|The President was scheduled to give an interview on TV that evening.
20,私たちは明日の今ごろは太平洋上を飛んでいることでしょう．,We will be flying over the Pacific about this time tomorrow.,We'll be flying over the Pacific about this time tomorrow.
21,父は来週ヨーロッパに向けて出発することになります．,My father will be leaving for Europe next week.,
